0 verbose cli /usr/bin/node /usr/bin/npm
1 info using npm@11.11.0
2 info using node@v24.14.1
3 silly config load:file:/usr/lib/node_modules/npm/npmrc
4 silly config load:file:/mnt/f/AIProjects/dsh-PackageManager/.drops/dsh-market-fork/.npmrc
5 silly config load:file:/home/h/.npmrc
6 silly config load:file:/home/h/.npm-global/etc/npmrc
7 verbose title npm ci
8 verbose argv "ci" "--cache" "./npm-cache" "--no-audit" "--no-fund"
9 verbose logfile logs-max:10 dir:/mnt/f/AIProjects/dsh-PackageManager/.drops/dsh-market-fork/npm-cache/_logs/2026-08-17T04_08_50_005Z-
10 verbose logfile /mnt/f/AIProjects/dsh-PackageManager/.drops/dsh-market-fork/npm-cache/_logs/2026-08-17T04_08_50_005Z-debug-0.log
11 silly logfile done cleaning log files
12 silly packumentCache heap:1811939328 maxSize:452984832 maxEntrySize:226492416
13 silly idealTree buildDeps
14 silly reify moves {}
15 http fetch GET 200 https://registry.npmmirror.com/npm 377ms
16 http cache yuku-ast@https://registry.npmmirror.com/yuku-ast/-/yuku-ast-0.8.7.tgz 0ms (cache hit)
17 http cache zwitch@https://registry.npmmirror.com/zwitch/-/zwitch-2.0.4.tgz 0ms (cache hit)
18 http cache yuku-codegen@https://registry.npmmirror.com/yuku-codegen/-/yuku-codegen-0.8.7.tgz 0ms (cache hit)
19 http cache yuku-parser@https://registry.npmmirror.com/yuku-parser/-/yuku-parser-0.8.7.tgz 1ms (cache hit)
20 http cache xmlchars@https://registry.npmmirror.com/xmlchars/-/xmlchars-2.2.0.tgz 0ms (cache hit)
21 http cache why-is-node-running@https://registry.npmmirror.com/why-is-node-running/-/why-is-node-running-2.3.0.tgz 0ms (cache hit)
22 http cache xml-name-validator@https://registry.npmmirror.com/xml-name-validator/-/xml-name-validator-5.0.0.tgz 0ms (cache hit)
23 http cache whatwg-url@https://registry.npmmirror.com/whatwg-url/-/whatwg-url-16.0.1.tgz 0ms (cache hit)
24 http cache whatwg-mimetype@https://registry.npmmirror.com/whatwg-mimetype/-/whatwg-mimetype-5.0.0.tgz 0ms (cache hit)
25 http cache w3c-xmlserializer@https://registry.npmmirror.com/w3c-xmlserializer/-/w3c-xmlserializer-5.0.0.tgz 0ms (cache hit)
26 http cache webidl-conversions@https://registry.npmmirror.com/webidl-conversions/-/webidl-conversions-8.0.1.tgz 0ms (cache hit)
27 http cache vitest@https://registry.npmmirror.com/vitest/-/vitest-4.1.10.tgz 0ms (cache hit)
28 http cache vite@https://registry.npmmirror.com/vite/-/vite-8.2.1.tgz 0ms (cache hit)
29 http cache vfile-message@https://registry.npmmirror.com/vfile-message/-/vfile-message-4.0.3.tgz 0ms (cache hit)
30 http cache vfile@https://registry.npmmirror.com/vfile/-/vfile-6.0.3.tgz 0ms (cache hit)
31 http cache verkit@https://registry.npmmirror.com/verkit/-/verkit-0.3.2.tgz 0ms (cache hit)
32 http cache unist-util-visit-parents@https://registry.npmmirror.com/unist-util-visit-parents/-/unist-util-visit-parents-6.0.2.tgz 0ms (cache hit)
33 http cache unist-util-remove-position@https://registry.npmmirror.com/unist-util-remove-position/-/unist-util-remove-position-5.0.0.tgz 0ms (cache hit)
34 http cache unist-util-visit@https://registry.npmmirror.com/unist-util-visit/-/unist-util-visit-5.1.0.tgz 0ms (cache hit)
35 http cache unist-util-stringify-position@https://registry.npmmirror.com/unist-util-stringify-position/-/unist-util-stringify-position-4.0.0.tgz 0ms (cache hit)
36 http cache undici-types@https://registry.npmmirror.com/undici-types/-/undici-types-8.3.0.tgz 0ms (cache hit)
37 http cache unist-util-position@https://registry.npmmirror.com/unist-util-position/-/unist-util-position-5.0.0.tgz 0ms (cache hit)
38 http cache undici@https://registry.npmmirror.com/undici/-/undici-7.29.0.tgz 0ms (cache hit)
39 http cache unist-util-is@https://registry.npmmirror.com/unist-util-is/-/unist-util-is-6.0.1.tgz 1ms (cache hit)
40 http cache unconfig-core@https://registry.npmmirror.com/unconfig-core/-/unconfig-core-7.5.0.tgz 0ms (cache hit)
